cardi,cardj,label,group,mobSimNm,stSimNm,comZoneProbNm,comODProbNm,comRouteProbNm,y,avgEncDurTmNm,mobStSimNm,comHWZoneProbNm,comHWODProbNm,comHWRouteProbNm,encTmsNm,mobDisNm
13249862,13249865,1,437,0.640928114,0.885416552,0.705036786,0.675806452,0.214156317,1,0.102859405,0.79469925,0.779569892,0.857354028,0.857354028,0.426470588,0.23494347
13249862,13249864,1,437,0.88599981,0.810710924,0.718518519,0.662962963,0.216161036,1,0.085099947,0.838239122,0.786504896,0.836714024,0.836714024,0.426470588,0.067267718
13466181,13466183,1,624,0.936937857,0.959863986,0.700486909,0.677519234,0.164984825,1,0.168053378,0.9513039,0.876142901,0.898110119,0.898110119,0.735294118,0.036496783
13466181,13466182,1,624,0.955841149,0.820784686,0.70295602,0.685787671,0.164123492,1,0.146286594,0.870457046,0.879454679,0.910583871,0.910583871,0.411764706,0.025377512
11348539,11348540,1,1100,0.946143938,0.897367788,0.700567207,0.522556391,0.115582885,1,0.171443402,0.915238328,0.833711434,0.639470072,0.639470072,0.705882353,0.031061924
11348540,11348542,1,1100,0.948188631,0.885101768,0.694955091,0.516746411,0.114393218,1,0.1777959,0.908247846,0.827146235,0.630750026,0.630750026,0.676470588,0.029859916
11348539,11348542,1,1100,0.988118233,0.877806932,0.704442925,0.526948052,0.116638981,1,0.176868844,0.918422189,0.831840573,0.642013419,0.642013419,0.720588235,0.006748051
11348546,11348547,1,1100,0.935298969,0.854191939,0.704464677,0.369102683,0.079973085,1,0.176134243,0.883952943,0.703371718,0.250782002,0.250782002,0.647058824,0.037468265
11348543,11348547,1,1100,0.952963128,0.806634338,0.69221968,0.332201087,0.072642821,1,0.173439618,0.860454009,0.684032984,0.231112825,0.231112825,0.558823529,0.027060291
13358810,13358811,1,2284,0.923122843,0.931873344,0.68748538,0.735416667,0.153290985,1,0.17403665,0.928510241,0.865181992,0.976740576,0.976740576,0.632352941,0.044723784
13358810,13358815,1,2284,0.804351935,0.863344359,0.693413863,0.723360656,0.150778018,1,0.190692741,0.841257354,0.871254946,0.960728436,0.960728436,0.602941176,0.119252457
13358811,13358815,1,2284,0.863466324,0.841574491,0.693413863,0.723360656,0.150778018,1,0.188565385,0.849391205,0.871254946,0.960728436,0.960728436,0.617647059,0.081274261
13358811,13358812,1,2284,0.476199025,0.801004917,0.682236842,0.656640625,0.150549769,1,0.216742232,0.68040096,0.859823994,0.8720898,0.8720898,0.602941176,0.371857901
12740773,12740775,1,2866,0.550399057,0.890504871,0.695825771,0.724137931,0.158487036,1,0.095196435,0.764399386,0.873959572,0.962305987,0.962305987,0.588235294,0.307218649
12740774,12740775,1,2866,0.933695657,0.851269472,0.706042885,0.717063492,0.149548145,1,0.101187531,0.88151352,0.883506659,0.952377433,0.952377433,0.632352941,0.038419824
12740772,12740773,1,2866,0.540586457,0.816488881,0.688434252,0.697805643,0.160545309,1,0.098685407,0.71401703,0.865311858,0.924813546,0.924813546,0.573529412,0.315467693
12740773,12740774,1,2866,0.543911477,0.809114353,0.693428975,0.706075534,0.154533844,1,0.095658361,0.710590072,0.871505955,0.93830289,0.93830289,0.588235294,0.31266277
13244653,13244654,1,3296,1,0.998048227,0.708315109,0.591412742,0.123467129,1,0.233349614,0.998767227,0.871620976,0.751570157,0.751570157,0.691176471,0
13244655,13244656,1,3296,0.971050752,0.901630376,0.713981925,0.692424242,0.147171978,1,0.272143475,0.927151119,0.878178335,0.906067325,0.906067325,0.558823529,0.016543854
11034435,11034437,1,3712,0.584698309,0.855873749,0.710944027,0.505952381,0.21092244,1,0.041270063,0.755223322,0.744047619,0.336179742,0.336179742,0.352941176,0.279047044
11034435,11034436,1,3712,0.945194326,0.855495926,0.701396348,0.484693878,0.201756302,1,0.042847728,0.88843981,0.743524011,0.329318931,0.329318931,0.470588235,0.031620795
11034436,11034437,1,3712,0.596128705,0.82187317,0.708557107,0.49744898,0.207377525,1,0.044250869,0.737979501,0.747712878,0.339004782,0.339004782,0.382352941,0.269878853
13134863,13134865,1,4666,0.916112949,0.915099649,0.694445271,0.679621255,0.142014423,1,0.08118701,0.915320639,0.871571704,0.900894188,0.900894188,0.602941176,0.048931454
13134864,13134865,1,4666,0.910216595,0.870792185,0.700355362,0.685190331,0.143169255,1,0.080844843,0.885152477,0.877638424,0.908333123,0.908333123,0.617647059,0.052488266
13134863,13134864,1,4666,0.988894483,0.853503037,0.693069611,0.686440678,0.143996061,1,0.096786736,0.903358806,0.869626554,0.908715096,0.908715096,0.617647059,0.006305418
11399775,11399781,1,5940,1,0.999999938,0.964912281,1,0.208440999,1,0.451054498,0.999999961,0,0,0,0.058823529,0
11399781,11399799,1,5940,0.531216481,0.816495353,0.964912281,1,0.208440999,1,0.558230683,0.710552366,0,0,0,0.029411765,0.323426352
11399775,11399799,1,5940,0.531216481,0.816495353,0.964912281,1,0.208440999,1,0.558230683,0.710552366,0.574712644,0,0,0.029411765,0.323426352
12729800,12729801,1,6258,0.531216481,0.99999991,0.770139635,0.428571429,0.153140326,1,0.236375513,0.826456932,0.633356791,0,0,0.117647059,0.323426352
12729799,12729801,1,6258,0.531216481,0.99999991,0.770139635,0.428571429,0.153140326,1,0.236340519,0.826456932,0.633356791,0,0,0.117647059,0.323426352
12729799,12729800,1,6258,0.531216481,0.99999991,0.770139635,0.428571429,0.153140326,1,0.349734043,0.826456932,0.703729768,0,0,0.117647059,0.323426352
13011666,13011670,1,6538,0.924712851,0.929030866,0.709473684,0.255,0.762894057,1,0.355608985,0.927303502,0.448275862,0.019933481,0.019933481,0.25,0.043772514
13011677,13011679,1,6538,0.910512061,0.869553585,0.726315789,0.24375,0.601873385,1,0.341485968,0.884479538,0.67887931,0.024916851,0.024916851,0.161764706,0.05230965
13011679,13011681,1,6538,0.920332394,0.800483654,0.715789474,0.225,0.687855297,1,0.335097051,0.844489281,0.517241379,0,0.049833703,0.147058824,0.046396043
